low_tau,high_tau,auto_clean_coverage,auto_clean_precision,auto_clean_recall,manual_review_coverage,analyst_burden,auto_pass_coverage,auto_pass_accuracy,missed_anomalies_in_pass,dataset
0.179,0.1973,0.5579,0.0799,1.0,0.0421,0.0421,0.4,0.9889,225,D1
0.179,0.2195,0.5157,0.085,1.0,0.0843,0.0843,0.4,0.9889,225,D1
0.179,0.2277,0.4736,0.0916,1.0,0.1264,0.1264,0.4,0.9889,225,D1
0.179,0.2342,0.4314,0.0996,1.0,0.1686,0.1686,0.4,0.9889,225,D1
0.179,0.2422,0.3893,0.1093,1.0,0.2107,0.2107,0.4,0.9889,225,D1
0.179,0.2542,0.3471,0.121,1.0,0.2529,0.2529,0.4,0.9889,225,D1
0.179,0.272,0.305,0.1363,1.0,0.295,0.295,0.4,0.9889,225,D1
0.179,0.3072,0.2629,0.1557,1.0,0.3371,0.3371,0.4,0.9889,225,D1
0.179,0.3476,0.2207,0.1795,1.0,0.3793,0.3793,0.4,0.9889,225,D1
0.179,0.4139,0.1786,0.2162,1.0,0.4214,0.4214,0.4,0.9889,225,D1
0.179,0.5101,0.1364,0.271,1.0,0.4636,0.4636,0.4,0.9889,225,D1
0.179,0.6225,0.0946,0.3582,1.0,0.5054,0.5054,0.4,0.9889,225,D1
0.179,0.9225,0.0522,0.4958,1.0,0.5478,0.5478,0.4,0.9889,225,D1
0.179,0.9531,0.01,0.7267,1.0,0.59,0.59,0.4,0.9889,225,D1
0.1973,0.2195,0.5157,0.085,1.0,0.0421,0.0421,0.4421,0.9889,247,D1
0.1973,0.2277,0.4736,0.0916,1.0,0.0843,0.0843,0.4421,0.9889,247,D1
0.1973,0.2342,0.4314,0.0996,1.0,0.1264,0.1264,0.4421,0.9889,247,D1
0.1973,0.2422,0.3893,0.1093,1.0,0.1686,0.1686,0.4421,0.9889,247,D1
0.1973,0.2542,0.3471,0.121,1.0,0.2107,0.2107,0.4421,0.9889,247,D1
0.1973,0.272,0.305,0.1363,1.0,0.2529,0.2529,0.4421,0.9889,247,D1
0.1973,0.3072,0.2629,0.1557,1.0,0.295,0.295,0.4421,0.9889,247,D1
0.1973,0.3476,0.2207,0.1795,1.0,0.3371,0.3371,0.4421,0.9889,247,D1
0.1973,0.4139,0.1786,0.2162,1.0,0.3793,0.3793,0.4421,0.9889,247,D1
0.1973,0.5101,0.1364,0.271,1.0,0.4214,0.4214,0.4421,0.9889,247,D1
0.1973,0.6225,0.0946,0.3582,1.0,0.4633,0.4633,0.4421,0.9889,247,D1
0.1973,0.9225,0.0522,0.4958,1.0,0.5057,0.5057,0.4421,0.9889,247,D1
0.1973,0.9531,0.01,0.7267,1.0,0.5479,0.5479,0.4421,0.9889,247,D1
0.2195,0.2277,0.4736,0.0916,1.0,0.0422,0.0422,0.4843,0.9884,283,D1
0.2195,0.2342,0.4314,0.0996,1.0,0.0843,0.0843,0.4843,0.9884,283,D1
0.2195,0.2422,0.3893,0.1093,1.0,0.1264,0.1264,0.4843,0.9884,283,D1
0.2195,0.2542,0.3471,0.121,1.0,0.1686,0.1686,0.4843,0.9884,283,D1
0.2195,0.272,0.305,0.1363,1.0,0.2107,0.2107,0.4843,0.9884,283,D1
0.2195,0.3072,0.2629,0.1557,1.0,0.2529,0.2529,0.4843,0.9884,283,D1
0.2195,0.3476,0.2207,0.1795,1.0,0.295,0.295,0.4843,0.9884,283,D1
0.2195,0.4139,0.1786,0.2162,1.0,0.3371,0.3371,0.4843,0.9884,283,D1
0.2195,0.5101,0.1364,0.271,1.0,0.3793,0.3793,0.4843,0.9884,283,D1
0.2195,0.6225,0.0946,0.3582,1.0,0.4211,0.4211,0.4843,0.9884,283,D1
0.2195,0.9225,0.0522,0.4958,1.0,0.4636,0.4636,0.4843,0.9884,283,D1
0.2195,0.9531,0.01,0.7267,1.0,0.5057,0.5057,0.4843,0.9884,283,D1
0.2277,0.2342,0.4314,0.0996,1.0,0.0421,0.0421,0.5264,0.9884,308,D1
0.2277,0.2422,0.3893,0.1093,1.0,0.0843,0.0843,0.5264,0.9884,308,D1
0.2277,0.2542,0.3471,0.121,1.0,0.1264,0.1264,0.5264,0.9884,308,D1
0.2277,0.272,0.305,0.1363,1.0,0.1686,0.1686,0.5264,0.9884,308,D1
0.2277,0.3072,0.2629,0.1557,1.0,0.2107,0.2107,0.5264,0.9884,308,D1
0.2277,0.3476,0.2207,0.1795,1.0,0.2529,0.2529,0.5264,0.9884,308,D1
0.2277,0.4139,0.1786,0.2162,1.0,0.295,0.295,0.5264,0.9884,308,D1
0.2277,0.5101,0.1364,0.271,1.0,0.3371,0.3371,0.5264,0.9884,308,D1
0.2277,0.6225,0.0946,0.3582,1.0,0.379,0.379,0.5264,0.9884,308,D1
0.2277,0.9225,0.0522,0.4958,1.0,0.4214,0.4214,0.5264,0.9884,308,D1
0.2277,0.9531,0.01,0.7267,1.0,0.4636,0.4636,0.5264,0.9884,308,D1
0.2342,0.2422,0.3893,0.1093,1.0,0.0422,0.0422,0.5686,0.9886,328,D1
0.2342,0.2542,0.3471,0.121,1.0,0.0843,0.0843,0.5686,0.9886,328,D1
0.2342,0.272,0.305,0.1363,1.0,0.1264,0.1264,0.5686,0.9886,328,D1
0.2342,0.3072,0.2629,0.1557,1.0,0.1686,0.1686,0.5686,0.9886,328,D1
0.2342,0.3476,0.2207,0.1795,1.0,0.2107,0.2107,0.5686,0.9886,328,D1
0.2342,0.4139,0.1786,0.2162,1.0,0.2529,0.2529,0.5686,0.9886,328,D1
0.2342,0.5101,0.1364,0.271,1.0,0.295,0.295,0.5686,0.9886,328,D1
0.2342,0.6225,0.0946,0.3582,1.0,0.3369,0.3369,0.5686,0.9886,328,D1
0.2342,0.9225,0.0522,0.4958,1.0,0.3793,0.3793,0.5686,0.9886,328,D1
0.2342,0.9531,0.01,0.7267,1.0,0.4214,0.4214,0.5686,0.9886,328,D1
0.2422,0.2542,0.3471,0.121,1.0,0.0421,0.0421,0.6107,0.9887,350,D1
0.2422,0.272,0.305,0.1363,1.0,0.0843,0.0843,0.6107,0.9887,350,D1
0.2422,0.3072,0.2629,0.1557,1.0,0.1264,0.1264,0.6107,0.9887,350,D1
0.2422,0.3476,0.2207,0.1795,1.0,0.1686,0.1686,0.6107,0.9887,350,D1
0.2422,0.4139,0.1786,0.2162,1.0,0.2107,0.2107,0.6107,0.9887,350,D1
0.2422,0.5101,0.1364,0.271,1.0,0.2529,0.2529,0.6107,0.9887,350,D1
0.2422,0.6225,0.0946,0.3582,1.0,0.2947,0.2947,0.6107,0.9887,350,D1
0.2422,0.9225,0.0522,0.4958,1.0,0.3371,0.3371,0.6107,0.9887,350,D1
0.2422,0.9531,0.01,0.7267,1.0,0.3793,0.3793,0.6107,0.9887,350,D1
0.2542,0.272,0.305,0.1363,1.0,0.0421,0.0421,0.6529,0.9886,377,D1
0.2542,0.3072,0.2629,0.1557,1.0,0.0843,0.0843,0.6529,0.9886,377,D1
0.2542,0.3476,0.2207,0.1795,1.0,0.1264,0.1264,0.6529,0.9886,377,D1
0.2542,0.4139,0.1786,0.2162,1.0,0.1686,0.1686,0.6529,0.9886,377,D1
0.2542,0.5101,0.1364,0.271,1.0,0.2107,0.2107,0.6529,0.9886,377,D1
0.2542,0.6225,0.0946,0.3582,1.0,0.2526,0.2526,0.6529,0.9886,377,D1
0.2542,0.9225,0.0522,0.4958,1.0,0.295,0.295,0.6529,0.9886,377,D1
0.2542,0.9531,0.01,0.7267,1.0,0.3371,0.3371,0.6529,0.9886,377,D1
0.272,0.3072,0.2629,0.1557,1.0,0.0421,0.0421,0.695,0.9887,398,D1
0.272,0.3476,0.2207,0.1795,1.0,0.0843,0.0843,0.695,0.9887,398,D1
0.272,0.4139,0.1786,0.2162,1.0,0.1264,0.1264,0.695,0.9887,398,D1
0.272,0.5101,0.1364,0.271,1.0,0.1686,0.1686,0.695,0.9887,398,D1
0.272,0.6225,0.0946,0.3582,1.0,0.2104,0.2104,0.695,0.9887,398,D1
0.272,0.9225,0.0522,0.4958,1.0,0.2529,0.2529,0.695,0.9887,398,D1
0.272,0.9531,0.01,0.7267,1.0,0.295,0.295,0.695,0.9887,398,D1
0.3072,0.3476,0.2207,0.1795,1.0,0.0422,0.0422,0.7371,0.9884,431,D1
0.3072,0.4139,0.1786,0.2162,1.0,0.0843,0.0843,0.7371,0.9884,431,D1
0.3072,0.5101,0.1364,0.271,1.0,0.1264,0.1264,0.7371,0.9884,431,D1
0.3072,0.6225,0.0946,0.3582,1.0,0.1683,0.1683,0.7371,0.9884,431,D1
0.3072,0.9225,0.0522,0.4958,1.0,0.2107,0.2107,0.7371,0.9884,431,D1
0.3072,0.9531,0.01,0.7267,1.0,0.2529,0.2529,0.7371,0.9884,431,D1
0.3476,0.4139,0.1786,0.2162,1.0,0.0421,0.0421,0.7793,0.9874,497,D1
0.3476,0.5101,0.1364,0.271,1.0,0.0843,0.0843,0.7793,0.9874,497,D1
0.3476,0.6225,0.0946,0.3582,1.0,0.1261,0.1261,0.7793,0.9874,497,D1
0.3476,0.9225,0.0522,0.4958,1.0,0.1686,0.1686,0.7793,0.9874,497,D1
0.3476,0.9531,0.01,0.7267,1.0,0.2107,0.2107,0.7793,0.9874,497,D1
0.4139,0.5101,0.1364,0.271,1.0,0.0421,0.0421,0.8214,0.9868,548,D1
0.4139,0.6225,0.0946,0.3582,1.0,0.084,0.084,0.8214,0.9868,548,D1
0.4139,0.9225,0.0522,0.4958,1.0,0.1264,0.1264,0.8214,0.9868,548,D1
0.4139,0.9531,0.01,0.7267,1.0,0.1686,0.1686,0.8214,0.9868,548,D1
0.5101,0.6225,0.0946,0.3582,1.0,0.0419,0.0419,0.8636,0.9855,631,D1
0.5101,0.9225,0.0522,0.4958,1.0,0.0843,0.0843,0.8636,0.9855,631,D1
0.5101,0.9531,0.01,0.7267,1.0,0.1264,0.1264,0.8636,0.9855,631,D1
0.6225,0.9225,0.0522,0.4958,1.0,0.0424,0.0424,0.9054,0.9828,787,D1
0.6225,0.9531,0.01,0.7267,1.0,0.0846,0.0846,0.9054,0.9828,787,D1
0.9225,0.9531,0.01,0.7267,1.0,0.0422,0.0422,0.9478,0.9751,1192,D1
0.2785,0.2878,0.558,0.0737,1.0,0.042,0.042,0.4,0.9807,1563,D2
0.2785,0.2967,0.5161,0.0785,1.0,0.0839,0.0839,0.4,0.9807,1563,D2
0.2785,0.3067,0.4736,0.0837,1.0,0.1264,0.1264,0.4,0.9807,1563,D2
0.2785,0.317,0.4314,0.0901,1.0,0.1686,0.1686,0.4,0.9807,1563,D2
0.2785,0.3282,0.3893,0.098,1.0,0.2107,0.2107,0.4,0.9807,1563,D2
0.2785,0.3423,0.3471,0.1074,1.0,0.2529,0.2529,0.4,0.9807,1563,D2
0.2785,0.3659,0.305,0.1191,1.0,0.295,0.295,0.4,0.9807,1563,D2
0.2785,0.3938,0.2629,0.1348,1.0,0.3371,0.3371,0.4,0.9807,1563,D2
0.2785,0.4323,0.2207,0.1568,1.0,0.3793,0.3793,0.4,0.9807,1563,D2
0.2785,0.4953,0.1786,0.1888,1.0,0.4214,0.4214,0.4,0.9807,1563,D2
0.2785,0.6219,0.1364,0.2385,1.0,0.4636,0.4636,0.4,0.9807,1563,D2
0.2785,0.7444,0.0943,0.2468,1.0,0.5057,0.5057,0.4,0.9807,1563,D2
0.2785,0.8509,0.0521,0.2415,1.0,0.5479,0.5479,0.4,0.9807,1563,D2
0.2785,0.9427,0.01,0.2569,1.0,0.59,0.59,0.4,0.9807,1563,D2
0.2878,0.2967,0.5161,0.0785,1.0,0.0419,0.0419,0.442,0.9811,1689,D2
0.2878,0.3067,0.4736,0.0837,1.0,0.0844,0.0844,0.442,0.9811,1689,D2
0.2878,0.317,0.4314,0.0901,1.0,0.1266,0.1266,0.442,0.9811,1689,D2
0.2878,0.3282,0.3893,0.098,1.0,0.1687,0.1687,0.442,0.9811,1689,D2
0.2878,0.3423,0.3471,0.1074,1.0,0.2109,0.2109,0.442,0.9811,1689,D2
0.2878,0.3659,0.305,0.1191,1.0,0.253,0.253,0.442,0.9811,1689,D2
0.2878,0.3938,0.2629,0.1348,1.0,0.2951,0.2951,0.442,0.9811,1689,D2
0.2878,0.4323,0.2207,0.1568,1.0,0.3373,0.3373,0.442,0.9811,1689,D2
0.2878,0.4953,0.1786,0.1888,1.0,0.3794,0.3794,0.442,0.9811,1689,D2
0.2878,0.6219,0.1364,0.2385,1.0,0.4216,0.4216,0.442,0.9811,1689,D2
0.2878,0.7444,0.0943,0.2468,1.0,0.4637,0.4637,0.442,0.9811,1689,D2
0.2878,0.8509,0.0521,0.2415,1.0,0.5059,0.5059,0.442,0.9811,1689,D2
0.2878,0.9427,0.01,0.2569,1.0,0.548,0.548,0.442,0.9811,1689,D2
0.2967,0.3067,0.4736,0.0837,1.0,0.0425,0.0425,0.4839,0.9814,1820,D2
0.2967,0.317,0.4314,0.0901,1.0,0.0846,0.0846,0.4839,0.9814,1820,D2
0.2967,0.3282,0.3893,0.098,1.0,0.1268,0.1268,0.4839,0.9814,1820,D2
0.2967,0.3423,0.3471,0.1074,1.0,0.1689,0.1689,0.4839,0.9814,1820,D2
0.2967,0.3659,0.305,0.1191,1.0,0.2111,0.2111,0.4839,0.9814,1820,D2
0.2967,0.3938,0.2629,0.1348,1.0,0.2532,0.2532,0.4839,0.9814,1820,D2
0.2967,0.4323,0.2207,0.1568,1.0,0.2954,0.2954,0.4839,0.9814,1820,D2
0.2967,0.4953,0.1786,0.1888,1.0,0.3375,0.3375,0.4839,0.9814,1820,D2
0.2967,0.6219,0.1364,0.2385,1.0,0.3796,0.3796,0.4839,0.9814,1820,D2
0.2967,0.7444,0.0943,0.2468,1.0,0.4218,0.4218,0.4839,0.9814,1820,D2
0.2967,0.8509,0.0521,0.2415,1.0,0.4639,0.4639,0.4839,0.9814,1820,D2
0.2967,0.9427,0.01,0.2569,1.0,0.5061,0.5061,0.4839,0.9814,1820,D2
0.3067,0.317,0.4314,0.0901,1.0,0.0421,0.0421,0.5264,0.9813,1991,D2
0.3067,0.3282,0.3893,0.098,1.0,0.0843,0.0843,0.5264,0.9813,1991,D2
0.3067,0.3423,0.3471,0.1074,1.0,0.1264,0.1264,0.5264,0.9813,1991,D2
0.3067,0.3659,0.305,0.1191,1.0,0.1686,0.1686,0.5264,0.9813,1991,D2
0.3067,0.3938,0.2629,0.1348,1.0,0.2107,0.2107,0.5264,0.9813,1991,D2
0.3067,0.4323,0.2207,0.1568,1.0,0.2529,0.2529,0.5264,0.9813,1991,D2
0.3067,0.4953,0.1786,0.1888,1.0,0.295,0.295,0.5264,0.9813,1991,D2
0.3067,0.6219,0.1364,0.2385,1.0,0.3371,0.3371,0.5264,0.9813,1991,D2
