seed,dataset,meta_learner,f1_nested,f1_oracle,source,oracle_gap,runtime_s,ece_raw,brier_raw,ece_platt,brier_platt
42,D1,LR,0.512,0.511,recovered_from_stdout,-0.001,,,,,
42,D1,RF,0.528,0.541,recovered_from_stdout,0.013,,,,,
42,D1,GBM,0.595,0.595,recovered_from_stdout,0.0,,,,,
42,D1,MLP,0.522,0.522,recovered_from_stdout,0.0,,,,,
42,D1,XGB,0.607,0.608,recovered_from_stdout,0.001,,,,,
42,D1,LGB,0.609,0.613,recovered_from_stdout,0.004,,,,,
42,D2,LR,0.359,0.359,recovered_from_stdout,0.0,,,,,
42,D2,RF,0.54,0.583,recovered_from_stdout,0.043,,,,,
42,D2,GBM,0.566,0.567,recovered_from_stdout,0.001,,,,,
42,D2,MLP,0.497,0.477,recovered_from_stdout,-0.02,,,,,
42,D2,XGB,0.577,0.578,recovered_from_stdout,0.001,,,,,
42,D2,LGB,0.604,0.605,recovered_from_stdout,0.001,,,,,
42,D3,LR,0.713,0.717,recovered_from_stdout,0.004,,,,,
42,D3,RF,0.705,0.756,recovered_from_stdout,0.051,,,,,
42,D3,GBM,0.751,0.752,recovered_from_stdout,0.001,,,,,
42,D3,MLP,0.713,0.72,recovered_from_stdout,0.007,,,,,
42,D3,XGB,0.762,0.762,recovered_from_stdout,0.0,,,,,
42,D3,LGB,0.751,0.756,recovered_from_stdout,0.005,,,,,
43,D1,LR,0.468,0.469,recovered_from_stdout,0.001,,,,,
43,D1,RF,0.512,0.517,recovered_from_stdout,0.005,,,,,
43,D1,GBM,0.603,0.604,recovered_from_stdout,0.001,,,,,
43,D1,MLP,0.569,0.559,recovered_from_stdout,-0.01,,,,,
43,D1,XGB,0.62,0.623,recovered_from_stdout,0.003,,,,,
43,D1,LGB,0.619,0.622,recovered_from_stdout,0.003,,,,,
43,D2,LR,0.369,0.37,recovered_from_stdout,0.001,,,,,
43,D2,RF,0.458,0.497,recovered_from_stdout,0.039,,,,,
43,D2,GBM,0.515,0.515,recovered_from_stdout,0.0,,,,,
43,D2,MLP,0.471,0.463,recovered_from_stdout,-0.008,,,,,
43,D2,XGB,0.533,0.533,recovered_from_stdout,0.0,,,,,
43,D2,LGB,0.547,0.547,recovered_from_stdout,0.0,,,,,
43,D3,LR,0.807,0.806,recovered_from_stdout,-0.001,,,,,
43,D3,RF,0.806,0.808,recovered_from_stdout,0.002,,,,,
43,D3,GBM,0.805,0.809,recovered_from_stdout,0.004,,,,,
43,D3,MLP,0.804,0.807,recovered_from_stdout,0.003,,,,,
43,D3,XGB,0.814,0.817,recovered_from_stdout,0.003,,,,,
43,D3,LGB,0.793,0.813,recovered_from_stdout,0.02,,,,,
44,D1,LR,0.466,0.466,recovered_from_stdout,0.0,,,,,
44,D1,RF,0.503,0.511,recovered_from_stdout,0.008,,,,,
44,D1,GBM,0.583,0.585,recovered_from_stdout,0.002,,,,,
44,D1,MLP,0.537,0.501,recovered_from_stdout,-0.036,,,,,
44,D1,XGB,0.609,0.613,recovered_from_stdout,0.004,,,,,
44,D1,LGB,0.609,0.616,recovered_from_stdout,0.007,,,,,
44,D2,LR,0.378,0.379,recovered_from_stdout,0.001,,,,,
44,D2,RF,0.458,0.493,recovered_from_stdout,0.035,,,,,
44,D2,GBM,0.507,0.506,recovered_from_stdout,-0.001,,,,,
44,D2,MLP,0.448,0.442,recovered_from_stdout,-0.006,,,,,
44,D2,XGB,0.528,0.528,recovered_from_stdout,0.0,,,,,
44,D2,LGB,0.543,0.543,recovered_from_stdout,0.0,,,,,
44,D3,LR,0.788,0.793,recovered_from_stdout,0.005,,,,,
44,D3,RF,0.793,0.798,recovered_from_stdout,0.005,,,,,
44,D3,GBM,0.782,0.803,recovered_from_stdout,0.021,,,,,
44,D3,MLP,0.797,0.798,recovered_from_stdout,0.001,,,,,
44,D3,XGB,0.798,0.807,recovered_from_stdout,0.009,,,,,
44,D3,LGB,0.782,0.796,recovered_from_stdout,0.014,,,,,
45,D1,LR,0.426,0.426,recovered_from_stdout,0.0,,,,,
45,D1,RF,0.503,0.515,recovered_from_stdout,0.012,,,,,
45,D1,GBM,0.577,0.577,recovered_from_stdout,0.0,,,,,
45,D1,MLP,0.541,0.527,recovered_from_stdout,-0.014,,,,,
45,D1,XGB,0.595,0.598,recovered_from_stdout,0.003,,,,,
45,D1,LGB,0.597,0.6,recovered_from_stdout,0.003,,,,,
45,D2,LR,0.375,0.375,recovered_from_stdout,0.0,,,,,
45,D2,RF,0.452,0.484,recovered_from_stdout,0.032,,,,,
45,D2,GBM,0.508,0.505,recovered_from_stdout,-0.003,,,,,
45,D2,MLP,0.458,0.453,recovered_from_stdout,-0.005,,,,,
45,D2,XGB,0.532,0.53,recovered_from_stdout,-0.002,,,,,
45,D2,LGB,0.545,0.545,recovered_from_stdout,0.0,,,,,
45,D3,LR,0.777,0.779,recovered_from_stdout,0.002,,,,,
45,D3,RF,0.792,0.796,recovered_from_stdout,0.004,,,,,
45,D3,GBM,0.798,0.798,recovered_from_stdout,0.0,,,,,
45,D3,MLP,0.78,0.787,recovered_from_stdout,0.007,,,,,
45,D3,XGB,0.8,0.802,recovered_from_stdout,0.002,,,,,
45,D3,LGB,0.786,0.802,recovered_from_stdout,0.016,,,,,
46,D1,LR,0.425,0.425,recovered_from_stdout,0.0,,,,,
46,D1,RF,0.507,0.513,recovered_from_stdout,0.006,,,,,
46,D1,GBM,0.579,0.579,recovered_from_stdout,0.0,,,,,
46,D1,MLP,0.546,0.543,recovered_from_stdout,-0.003,,,,,
46,D1,XGB,0.614,0.615,recovered_from_stdout,0.001,,,,,
46,D1,LGB,0.612,0.618,recovered_from_stdout,0.006,,,,,
46,D2,LR,0.379,0.38,recovered_from_stdout,0.001,,,,,
46,D2,RF,0.447,0.479,recovered_from_stdout,0.032,,,,,
46,D2,GBM,0.509,0.509,recovered_from_stdout,0.0,,,,,
46,D2,MLP,0.448,0.434,recovered_from_stdout,-0.014,,,,,
46,D2,XGB,0.528,0.529,recovered_from_stdout,0.001,,,,,
46,D2,LGB,0.542,0.543,recovered_from_stdout,0.001,,,,,
46,D3,LR,0.79,0.791,recovered_from_stdout,0.001,,,,,
46,D3,RF,0.789,0.798,recovered_from_stdout,0.009,,,,,
46,D3,GBM,0.789,0.804,recovered_from_stdout,0.015,,,,,
46,D3,MLP,0.802,0.801,recovered_from_stdout,-0.001,,,,,
46,D3,XGB,0.798,0.812,recovered_from_stdout,0.014,,,,,
46,D3,LGB,0.785,0.806,recovered_from_stdout,0.021,,,,,
47,D1,LR,0.433,0.432,recovered_from_stdout,-0.001,,,,,
47,D1,RF,0.515,0.521,recovered_from_stdout,0.006,,,,,
47,D1,GBM,0.576,0.579,recovered_from_stdout,0.003,,,,,
47,D1,MLP,0.546,0.541,recovered_from_stdout,-0.005,,,,,
47,D1,XGB,0.611,0.612,recovered_from_stdout,0.001,,,,,
47,D1,LGB,0.615,0.624,recovered_from_stdout,0.009,,,,,
47,D2,LR,0.373,0.374,recovered_from_stdout,0.001,,,,,
47,D2,RF,0.448,0.483,recovered_from_stdout,0.035,,,,,
47,D2,GBM,0.512,0.508,recovered_from_stdout,-0.004,,,,,
47,D2,MLP,0.469,0.46,recovered_from_stdout,-0.009,,,,,
47,D2,XGB,0.529,0.529,recovered_from_stdout,0.0,,,,,
47,D2,LGB,0.544,0.544,recovered_from_stdout,0.0,,,,,
47,D3,LR,0.779,0.787,recovered_from_stdout,0.008,,,,,
47,D3,RF,0.802,0.804,recovered_from_stdout,0.002,,,,,
47,D3,GBM,0.804,0.807,recovered_from_stdout,0.003,,,,,
47,D3,MLP,0.781,0.79,recovered_from_stdout,0.009,,,,,
47,D3,XGB,0.802,0.807,recovered_from_stdout,0.005,,,,,
47,D3,LGB,0.796,0.804,recovered_from_stdout,0.008,,,,,
48,D1,LR,0.448,0.447,recovered_from_stdout,-0.001,,,,,
48,D1,RF,0.519,0.523,recovered_from_stdout,0.004,,,,,
48,D1,GBM,0.577,0.583,recovered_from_stdout,0.006,,,,,
48,D1,MLP,0.545,0.519,recovered_from_stdout,-0.026,,,,,
48,D1,XGB,0.608,0.612,recovered_from_stdout,0.004,,,,,
48,D1,LGB,0.602,0.606,recovered_from_stdout,0.004,,,,,
48,D2,LR,0.374,0.374,recovered_from_stdout,0.0,,,,,
48,D2,RF,0.453,0.488,recovered_from_stdout,0.035,,,,,
48,D2,GBM,0.508,0.508,recovered_from_stdout,0.0,,,,,
48,D2,MLP,0.471,0.454,recovered_from_stdout,-0.017,,,,,
48,D2,XGB,0.534,0.534,recovered_from_stdout,0.0,,,,,
48,D2,LGB,0.551,0.552,recovered_from_stdout,0.001,,,,,
48,D3,LR,0.782,0.784,recovered_from_stdout,0.002,,,,,
48,D3,RF,0.799,0.801,recovered_from_stdout,0.002,,,,,
48,D3,GBM,0.797,0.807,recovered_from_stdout,0.01,,,,,
48,D3,MLP,0.794,0.788,recovered_from_stdout,-0.006,,,,,
48,D3,XGB,0.804,0.808,recovered_from_stdout,0.004,,,,,
48,D3,LGB,0.794,0.809,recovered_from_stdout,0.015,,,,,
49,D1,LR,0.45,0.45,recovered_from_stdout,0.0,,,,,
49,D1,RF,0.52,0.531,recovered_from_stdout,0.011,,,,,
49,D1,GBM,0.592,0.598,recovered_from_stdout,0.006,,,,,
49,D1,MLP,0.556,0.522,recovered_from_stdout,-0.034,,,,,
49,D1,XGB,0.627,0.628,recovered_from_stdout,0.001,,,,,
49,D1,LGB,0.632,0.631,recovered_from_stdout,-0.001,,,,,
49,D2,LR,0.3652,0.3657,computed,0.0005,1.52,0.32828,0.16581,0.01179,0.04195
49,D2,RF,0.4601,0.4959,computed,0.0358,44.5,0.07331,0.0532,0.01356,0.03527
49,D2,GBM,0.5082,0.508,computed,-0.0001,69.35,0.00592,0.03412,0.00356,0.03389
49,D2,MLP,0.4597,0.4489,computed,-0.0108,78.54,0.00605,0.03665,0.00492,0.03669
49,D2,XGB,0.5221,0.5217,computed,-0.0004,3.4,0.00577,0.03311,0.00225,0.03282
49,D2,LGB,0.5418,0.5434,computed,0.0016,7.15,0.26232,0.11494,0.01181,0.03353
49,D3,LR,0.7932,0.7961,computed,0.0029,0.21,0.03975,0.03513,0.01744,0.01809
49,D3,RF,0.8144,0.8158,computed,0.0014,2.79,0.00593,0.01253,0.00369,0.01385
49,D3,GBM,0.8082,0.8141,computed,0.006,10.55,0.00168,0.01189,0.00603,0.01327
49,D3,MLP,0.8018,0.805,computed,0.0032,6.15,0.00711,0.01333,0.00299,0.01428
49,D3,XGB,0.8192,0.8205,computed,0.0014,0.92,0.00082,0.01156,0.00605,0.01279
49,D3,LGB,0.8117,0.8294,computed,0.0177,0.93,0.02526,0.02389,0.01387,0.01533
50,D1,LR,0.4384,0.4383,computed,-0.0,0.22,0.26231,0.12787,0.00578,0.03902
50,D1,RF,0.5143,0.5225,computed,0.0082,7.37,0.03651,0.03943,0.00597,0.03271
50,D1,GBM,0.5936,0.5943,computed,0.0007,20.35,0.00326,0.02885,0.00331,0.0295
50,D1,MLP,0.5684,0.5691,computed,0.0007,14.17,0.00306,0.02996,0.00528,0.03061
50,D1,XGB,0.616,0.6192,computed,0.0032,1.1,0.00302,0.02704,0.00412,0.02769
50,D1,LGB,0.6214,0.628,computed,0.0067,1.52,0.1682,0.07533,0.00996,0.02888
50,D2,LR,0.3705,0.371,computed,0.0005,1.5,0.32478,0.16387,0.01184,0.04171
50,D2,RF,0.4549,0.4834,computed,0.0285,41.25,0.07368,0.05329,0.01195,0.03568
50,D2,GBM,0.5028,0.5018,computed,-0.0011,84.03,0.00467,0.03411,0.0036,0.0341
50,D2,MLP,0.4713,0.4678,computed,-0.0035,78.99,0.00225,0.03551,0.00642,0.03615
50,D2,XGB,0.5333,0.5337,computed,0.0004,3.1,0.00562,0.03256,0.00347,0.03247
50,D2,LGB,0.5493,0.5504,computed,0.0011,3.3,0.25739,0.11302,0.01068,0.03345
50,D3,LR,0.7729,0.7799,computed,0.007,0.15,0.03988,0.03552,0.01783,0.01818
50,D3,RF,0.7947,0.8003,computed,0.0056,2.27,0.00655,0.01331,0.00365,0.01479
50,D3,GBM,0.7953,0.8003,computed,0.005,8.3,0.00237,0.0124,0.00731,0.01388
50,D3,MLP,0.7937,0.7889,computed,-0.0048,6.94,0.00571,0.01375,0.00375,0.01501
50,D3,XGB,0.7993,0.8045,computed,0.0052,0.82,0.00157,0.01215,0.00631,0.01347
50,D3,LGB,0.7924,0.803,computed,0.0106,1.0,0.02651,0.02534,0.01528,0.01626
51,D1,LR,0.4584,0.459,computed,0.0006,0.3,0.25898,0.12565,0.01055,0.0385
51,D1,RF,0.5203,0.5284,computed,0.0081,8.33,0.03798,0.03913,0.00462,0.03265
51,D1,GBM,0.6121,0.6134,computed,0.0013,20.39,0.00354,0.02857,0.00448,0.0292
51,D1,MLP,0.5243,0.4985,computed,-0.0258,13.13,0.00984,0.0347,0.01438,0.03635
51,D1,XGB,0.6296,0.6305,computed,0.0009,1.15,0.00302,0.02672,0.004,0.02732
51,D1,LGB,0.6356,0.635,computed,-0.0005,1.59,0.16672,0.07283,0.01009,0.02849
51,D2,LR,0.3757,0.3758,computed,0.0001,1.61,0.32286,0.16233,0.01091,0.04157
51,D2,RF,0.4491,0.4809,computed,0.0318,42.54,0.07603,0.05433,0.01236,0.03593
51,D2,GBM,0.4926,0.4896,computed,-0.003,73.04,0.00473,0.03436,0.00302,0.03419
51,D2,MLP,0.4494,0.4387,computed,-0.0107,59.78,0.00221,0.03735,0.00884,0.03809
51,D2,XGB,0.5284,0.5302,computed,0.0018,3.29,0.00524,0.0326,0.00358,0.03254
51,D2,LGB,0.5463,0.5467,computed,0.0003,4.15,0.25978,0.1145,0.01141,0.03341
51,D3,LR,0.7795,0.7873,computed,0.0079,0.21,0.03923,0.03491,0.01681,0.01805
51,D3,RF,0.8057,0.8063,computed,0.0006,3.05,0.00596,0.01281,0.00425,0.01444
51,D3,GBM,0.8038,0.805,computed,0.0011,10.84,0.00145,0.01208,0.00788,0.01353
51,D3,MLP,0.7969,0.7995,computed,0.0027,5.21,0.00905,0.01407,0.00359,0.01459
51,D3,XGB,0.7989,0.8089,computed,0.01,0.93,0.00126,0.01193,0.00556,0.01336
51,D3,LGB,0.7797,0.8006,computed,0.0209,0.98,0.02623,0.02538,0.01529,0.01664
