dataset,detector,score_quantile,threshold,flagged,review_workload_pct,precision,recall,f1,fpr
D1,hybrid_xgb,0.5,0.1553,25250,50.0,0.091,0.9199,0.1656,0.4781
D1,hybrid_xgb,0.52,0.1608,24219,47.96,0.0938,0.9091,0.17,0.4572
D1,hybrid_xgb,0.541,0.1675,23188,45.92,0.0974,0.9043,0.1759,0.436
D1,hybrid_xgb,0.561,0.1741,22157,43.88,0.1012,0.8979,0.182,0.4149
D1,hybrid_xgb,0.582,0.1815,21126,41.83,0.1057,0.8939,0.189,0.3936
D1,hybrid_xgb,0.602,0.1893,20095,39.79,0.1105,0.8887,0.1965,0.3724
D1,hybrid_xgb,0.623,0.1967,19064,37.75,0.1158,0.8839,0.2048,0.3512
D1,hybrid_xgb,0.643,0.2037,18033,35.71,0.1213,0.8755,0.213,0.3301
D1,hybrid_xgb,0.663,0.2127,17002,33.67,0.1277,0.8691,0.2227,0.309
D1,hybrid_xgb,0.684,0.2219,15971,31.63,0.1349,0.8623,0.2333,0.2878
D1,hybrid_xgb,0.704,0.2319,14940,29.58,0.1431,0.8559,0.2452,0.2667
D1,hybrid_xgb,0.725,0.2442,13909,27.54,0.1526,0.8499,0.2588,0.2455
D1,hybrid_xgb,0.745,0.2576,12878,25.5,0.1637,0.8439,0.2742,0.2244
D1,hybrid_xgb,0.765,0.2739,11847,23.46,0.1763,0.8363,0.2913,0.2033
D1,hybrid_xgb,0.786,0.2948,10816,21.42,0.1915,0.8291,0.3111,0.1822
D1,hybrid_xgb,0.806,0.3213,9785,19.38,0.2096,0.8211,0.334,0.1611
D1,hybrid_xgb,0.827,0.3523,8754,17.33,0.2317,0.8118,0.3605,0.1401
D1,hybrid_xgb,0.847,0.3944,7723,15.29,0.2584,0.799,0.3906,0.1193
D1,hybrid_xgb,0.867,0.4462,6693,13.25,0.2918,0.7818,0.425,0.0987
D1,hybrid_xgb,0.888,0.5173,5661,11.21,0.3377,0.7654,0.4687,0.0781
D1,hybrid_xgb,0.908,0.644,4630,9.17,0.3946,0.7314,0.5126,0.0584
D1,hybrid_xgb,0.929,0.7805,3602,7.13,0.4739,0.6833,0.5597,0.0395
D1,hybrid_xgb,0.949,0.8644,2568,5.09,0.5884,0.6049,0.5965,0.022
D1,hybrid_xgb,0.97,0.9543,1537,3.04,0.661,0.4067,0.5036,0.0109
D1,hybrid_xgb,0.99,0.9718,505,1.0,0.7446,0.1505,0.2504,0.0027
D2,hybrid_xgb,0.5,0.2859,101000,50.0,0.086,0.8691,0.1566,0.4808
D2,hybrid_xgb,0.52,0.2906,96876,47.96,0.0887,0.8592,0.1608,0.4598
D2,hybrid_xgb,0.541,0.2958,92755,45.92,0.0916,0.8492,0.1653,0.4389
D2,hybrid_xgb,0.561,0.3009,88628,43.88,0.0949,0.8414,0.1706,0.4178
D2,hybrid_xgb,0.582,0.3068,84504,41.83,0.0983,0.8307,0.1758,0.3969
D2,hybrid_xgb,0.602,0.3122,80380,39.79,0.1021,0.8209,0.1817,0.3759
D2,hybrid_xgb,0.623,0.318,76259,37.75,0.1064,0.8117,0.1882,0.3549
D2,hybrid_xgb,0.643,0.324,72131,35.71,0.1113,0.8026,0.1954,0.3339
D2,hybrid_xgb,0.663,0.3297,68025,33.68,0.1164,0.7918,0.203,0.3131
D2,hybrid_xgb,0.684,0.3351,63884,31.63,0.1224,0.7819,0.2117,0.292
D2,hybrid_xgb,0.704,0.3404,59759,29.58,0.1288,0.7695,0.2206,0.2712
D2,hybrid_xgb,0.725,0.3462,55634,27.54,0.1364,0.7589,0.2313,0.2502
D2,hybrid_xgb,0.745,0.3545,51511,25.5,0.1455,0.7493,0.2436,0.2293
D2,hybrid_xgb,0.765,0.3639,47386,23.46,0.1559,0.7389,0.2575,0.2083
D2,hybrid_xgb,0.786,0.3744,43262,21.42,0.1682,0.7275,0.2732,0.1874
D2,hybrid_xgb,0.806,0.3869,39139,19.38,0.1829,0.7159,0.2914,0.1666
D2,hybrid_xgb,0.827,0.401,35014,17.33,0.2008,0.703,0.3123,0.1457
D2,hybrid_xgb,0.847,0.4176,30895,15.29,0.2237,0.6912,0.338,0.1249
D2,hybrid_xgb,0.867,0.439,26768,13.25,0.2528,0.6766,0.368,0.1042
D2,hybrid_xgb,0.888,0.4693,22642,11.21,0.2927,0.6627,0.406,0.0834
D2,hybrid_xgb,0.908,0.5299,18517,9.17,0.3475,0.6435,0.4513,0.0629
D2,hybrid_xgb,0.929,0.6524,14393,7.13,0.4285,0.6167,0.5056,0.0428
D2,hybrid_xgb,0.949,0.797,10269,5.08,0.5556,0.5705,0.5629,0.0238
D2,hybrid_xgb,0.97,0.9391,6146,3.04,0.6803,0.4181,0.5179,0.0102
D2,hybrid_xgb,0.99,0.9684,2020,1.0,0.8604,0.1738,0.2892,0.0015
D3,hybrid_xgb,0.5,0.0001,15002,50.01,0.1,1.0,0.1818,0.4738
D3,hybrid_xgb,0.52,0.0001,14389,47.96,0.1042,1.0,0.1888,0.4522
D3,hybrid_xgb,0.541,0.0001,13780,45.93,0.1089,1.0,0.1963,0.4309
D3,hybrid_xgb,0.561,0.0001,13163,43.88,0.114,1.0,0.2046,0.4092
D3,hybrid_xgb,0.582,0.0001,12562,41.87,0.1194,1.0,0.2133,0.3881
D3,hybrid_xgb,0.602,0.0001,11938,39.79,0.1256,1.0,0.2232,0.3662
D3,hybrid_xgb,0.623,0.0001,11325,37.75,0.1325,1.0,0.2339,0.3447
D3,hybrid_xgb,0.643,0.0001,10713,35.71,0.14,1.0,0.2456,0.3233
D3,hybrid_xgb,0.663,0.0001,10100,33.67,0.1485,1.0,0.2586,0.3018
D3,hybrid_xgb,0.684,0.0001,9488,31.63,0.1581,1.0,0.273,0.2803
D3,hybrid_xgb,0.704,0.0001,8876,29.59,0.169,1.0,0.2891,0.2588
D3,hybrid_xgb,0.725,0.0002,8263,27.54,0.1815,1.0,0.3073,0.2373
D3,hybrid_xgb,0.745,0.0002,7654,25.51,0.196,1.0,0.3277,0.2159
D3,hybrid_xgb,0.765,0.0002,7040,23.47,0.2131,1.0,0.3513,0.1944
D3,hybrid_xgb,0.786,0.0002,6425,21.42,0.2335,1.0,0.3785,0.1728
D3,hybrid_xgb,0.806,0.0002,5814,19.38,0.258,1.0,0.4102,0.1514
D3,hybrid_xgb,0.827,0.0002,5209,17.36,0.288,1.0,0.4472,0.1301
D3,hybrid_xgb,0.847,0.0002,4590,15.3,0.3268,1.0,0.4926,0.1084
D3,hybrid_xgb,0.867,0.0003,3982,13.27,0.3767,1.0,0.5472,0.0871
D3,hybrid_xgb,0.888,0.0003,3363,11.21,0.446,1.0,0.6169,0.0654
D3,hybrid_xgb,0.908,0.135,2750,9.17,0.5429,0.9953,0.7026,0.0441
D3,hybrid_xgb,0.929,0.8418,2138,7.13,0.6417,0.9147,0.7543,0.0269
D3,hybrid_xgb,0.949,0.9286,1525,5.08,0.7469,0.7593,0.7531,0.0135
D3,hybrid_xgb,0.97,0.966,913,3.04,0.897,0.546,0.6788,0.0033
D3,hybrid_xgb,0.99,0.9997,300,1.0,1.0,0.2,0.3333,0.0
